Ticket Key,Epic Key,Title,Description,Owner,Owner Lane,Estimate,Priority,Sprint,State,Area,Launch Critical,Action Type,Channel,Dependencies,Labels,Why,Scope,Out of Scope,Acceptance Criteria,Tests,Metrics,Rollback Note
ACT-030,ACT-EC,GET /v1/disputes/{id},"Launch 1 - Action Wallet import seed

Ticket Key: ACT-030
Epic: Public API
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 2
Area: Public API
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform, Claude MCP, OpenClaw
Dependencies: ACT-029

Why
Dispute tracking depends on a stable case read model for users and operators.

Scope
- Fetch dispute by id
- Return current lifecycle state and key linked objects
- Enforce auth on dispute reads

Out of Scope
- Dispute search or reporting APIs
- Write actions on the read route

Acceptance Criteria
- Disputes can be fetched by id
- Lifecycle state and linked objects are returned
- Read auth is enforced

Tests
- unit: handler validation
- integration: end-to-end API lifecycle
- smoke: staged host flow

Metrics
- install-to-first-approval time
- approval completion rate
- finalize latency

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Lane A,Lane A - Control plane/backend,2,Highest,Sprint 2,Backlog,Public API,true,"buy,cancel/recover","platform,Claude MCP,OpenClaw",ACT-029,"launch-1,action-wallet,epic-c,lane-a,act-030,sprint-2,action-buy,action-cancel-recover,channel-platform,channel-claude-mcp,channel-openclaw",Dispute tracking depends on a stable case read model for users and operators.,Fetch dispute by id | Return current lifecycle state and key linked objects | Enforce auth on dispute reads,Dispute search or reporting APIs | Write actions on the read route,Disputes can be fetched by id | Lifecycle state and linked objects are returned | Read auth is enforced,unit: handler validation | integration: end-to-end API lifecycle | smoke: staged host flow,install-to-first-approval time | approval completion rate | finalize latency,Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.
ACT-031,ACT-EC,POST /v1/integrations/install,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-031
Epic: Public API
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 4
Area: Public API
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform, Claude MCP, OpenClaw
Dependencies: ACT-014, ACT-015

Why
Reference hosts need a bounded install endpoint before external traffic is allowed.

Scope
- Register host installation to a user account
- Persist install metadata and trust binding
- Return install status needed by host setup

Out of Scope
- Open marketplace discovery or listing
- Enterprise connector provisioning

Acceptance Criteria
- Host installations can be registered
- Install metadata is persisted
- Install status is returned to the host

Tests
- unit: handler validation
- integration: end-to-end API lifecycle
- smoke: staged host flow

Metrics
- install-to-first-approval time
- approval completion rate
- finalize latency

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Lane A,Lane A - Control plane/backend,3,Highest,Sprint 4,Backlog,Public API,true,"buy,cancel/recover","platform,Claude MCP,OpenClaw","ACT-014,ACT-015","launch-1,action-wallet,epic-c,lane-a,act-031,sprint-4,action-buy,action-cancel-recover,channel-platform,channel-claude-mcp,channel-openclaw",Reference hosts need a bounded install endpoint before external traffic is allowed.,Register host installation to a user account | Persist install metadata and trust binding | Return install status needed by host setup,Open marketplace discovery or listing | Enterprise connector provisioning,Host installations can be registered | Install metadata is persisted | Install status is returned to the host,unit: handler validation | integration: end-to-end API lifecycle | smoke: staged host flow,install-to-first-approval time | approval completion rate | finalize latency,Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.
ACT-032,ACT-EC,API auth middleware,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-032
Epic: Public API
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Public API
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform, Claude MCP, OpenClaw
Dependencies: ACT-010, ACT-015

Why
The API must distinguish host, user, and operator contexts before any launch action mutates state.

Scope
- Implement host auth middleware
- Implement user auth middleware
- Implement operator auth hooks for internal routes

Out of Scope
- Anonymous write access
- Ad hoc per-route auth checks

Acceptance Criteria
- Host auth middleware exists
- User auth middleware exists
- Operator auth hooks exist for internal routes

Tests
- unit: handler validation
- integration: end-to-end API lifecycle
- smoke: staged host flow

Metrics
- install-to-first-approval time
- approval completion rate
- finalize latency

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Lane A,Lane A - Control plane/backend,3,Highest,Sprint 1,Backlog,Public API,true,"buy,cancel/recover","platform,Claude MCP,OpenClaw","ACT-010,ACT-015","launch-1,action-wallet,epic-c,lane-a,act-032,sprint-1,action-buy,action-cancel-recover,channel-platform,channel-claude-mcp,channel-openclaw","The API must distinguish host, user, and operator contexts before any launch action mutates state.",Implement host auth middleware | Implement user auth middleware | Implement operator auth hooks for internal routes,Anonymous write access | Ad hoc per-route auth checks,Host auth middleware exists | User auth middleware exists | Operator auth hooks exist for internal routes,unit: handler validation | integration: end-to-end API lifecycle | smoke: staged host flow,install-to-first-approval time | approval completion rate | finalize latency,Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.
ACT-033,ACT-EC,Idempotency middleware,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-033
Epic: Public API
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 2
Area: Public API
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform, Claude MCP, OpenClaw
Dependencies: ACT-007

Why
Replay-safe create and finalize behavior needs one shared middleware layer.

Scope
- Apply idempotency middleware to create and finalize endpoints
- Store and replay stable responses
- Expose deterministic duplicate handling

Out of Scope
- Endpoint-specific duplicate suppression
- Best-effort idempotency behavior

Acceptance Criteria
- Create and finalize endpoints use shared idempotency middleware
- Stable responses are replayed on duplicate keys
- Duplicate handling is deterministic

Tests
- unit: handler validation
- integration: end-to-end API lifecycle
- smoke: staged host flow

Metrics
- install-to-first-approval time
- approval completion rate
- finalize latency

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Lane A,Lane A - Control plane/backend,2,Highest,Sprint 2,Backlog,Public API,true,"buy,cancel/recover","platform,Claude MCP,OpenClaw",ACT-007,"launch-1,action-wallet,epic-c,lane-a,act-033,sprint-2,action-buy,action-cancel-recover,channel-platform,channel-claude-mcp,channel-openclaw",Replay-safe create and finalize behavior needs one shared middleware layer.,Apply idempotency middleware to create and finalize endpoints | Store and replay stable responses | Expose deterministic duplicate handling,Endpoint-specific duplicate suppression | Best-effort idempotency behavior,Create and finalize endpoints use shared idempotency middleware | Stable responses are replayed on duplicate keys | Duplicate handling is deterministic,unit: handler validation | integration: end-to-end API lifecycle | smoke: staged host flow,install-to-first-approval time | approval completion rate | finalize latency,Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.
ACT-034,ACT-EC,Rate limiting,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-034
Epic: Public API
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 3
Area: Public API
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform, Claude MCP, OpenClaw
Dependencies: ACT-032

Why
Launch hosts and users need bounded abuse protection before real traffic and money flows arrive.

Scope
- Apply rate limits per host and per user
- Emit actionable reject reasons
- Surface limit configuration for ops

Out of Scope
- Global throttles with no principal context
- Adaptive risk scoring beyond launch scope

Acceptance Criteria
- Host rate limits exist
- User rate limits exist
- Reject reasons are surfaced

Tests
- unit: handler validation
- integration: end-to-end API lifecycle
- smoke: staged host flow

Metrics
- install-to-first-approval time
- approval completion rate
- finalize latency

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Lane A,Lane A - Control plane/backend,2,Highest,Sprint 3,Backlog,Public API,true,"buy,cancel/recover","platform,Claude MCP,OpenClaw",ACT-032,"launch-1,action-wallet,epic-c,lane-a,act-034,sprint-3,action-buy,action-cancel-recover,channel-platform,channel-claude-mcp,channel-openclaw",Launch hosts and users need bounded abuse protection before real traffic and money flows arrive.,Apply rate limits per host and per user | Emit actionable reject reasons | Surface limit configuration for ops,Global throttles with no principal context | Adaptive risk scoring beyond launch scope,Host rate limits exist | User rate limits exist | Reject reasons are surfaced,unit: handler validation | integration: end-to-end API lifecycle | smoke: staged host flow,install-to-first-approval time | approval completion rate | finalize latency,Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.
ACT-035,ACT-EC,API docs generation,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-035
Epic: Public API
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 4
Area: Public API
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform, Claude MCP, OpenClaw
Dependencies: ACT-020, ACT-030, ACT-031, ACT-032

Why
External hosts cannot integrate quickly if the API surface is only implied by code.

Scope
- Generate OpenAPI or equivalent docs for launch endpoints
- Publish auth and idempotency expectations
- Keep docs aligned with the shipped API

Out of Scope
- Docs for Phase 1.5 endpoints
- Hand-maintained docs that drift from code

Acceptance Criteria
- Launch endpoints are documented
- Auth and idempotency expectations are published
- Docs stay aligned with the API surface

Tests
- unit: handler validation
- integration: end-to-end API lifecycle
- smoke: staged host flow

Metrics
- install-to-first-approval time
- approval completion rate
- finalize latency

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Lane A,Lane A - Control plane/backend,2,Highest,Sprint 4,Backlog,Public API,true,"buy,cancel/recover","platform,Claude MCP,OpenClaw","ACT-020,ACT-030,ACT-031,ACT-032","launch-1,action-wallet,epic-c,lane-a,act-035,sprint-4,action-buy,action-cancel-recover,channel-platform,channel-claude-mcp,channel-openclaw",External hosts cannot integrate quickly if the API surface is only implied by code.,Generate OpenAPI or equivalent docs for launch endpoints | Publish auth and idempotency expectations | Keep docs aligned with the shipped API,Docs for Phase 1.5 endpoints | Hand-maintained docs that drift from code,Launch endpoints are documented | Auth and idempotency expectations are published | Docs stay aligned with the API surface,unit: handler validation | integration: end-to-end API lifecycle | smoke: staged host flow,install-to-first-approval time | approval completion rate | finalize latency,Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.
ACT-040,ACT-ED,Wallet envelope model,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-040
Epic: Action Wallet and policy engine
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Action Wallet and policy engine
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-001, ACT-004

Why
The wallet envelope defines the actual execution boundary users approve.

Scope
- Store cap, currency, vendor or domain allowlist, action type, expiry, evidence requirements, and standing rule source
- Bind the envelope to grants and approvals
- Expose one canonical wallet read model

Out of Scope
- Multi-currency settlement logic
- Enterprise policy pack support

Acceptance Criteria
- All listed wallet fields are stored
- Wallet binds to grants and approvals
- One canonical wallet read model exists

Tests
- unit: policy and grant logic
- integration: approve or deny flows
- smoke: bounded execution path

Metrics
- approval completion rate
- out-of-scope execution attempts
- grant validation failures

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Lane A,Lane A - Control plane/backend,3,Highest,Sprint 1,Backlog,Action Wallet and policy engine,true,"buy,cancel/recover",platform,"ACT-001,ACT-004","launch-1,action-wallet,epic-d,lane-a,act-040,sprint-1,action-buy,action-cancel-recover,channel-platform",The wallet envelope defines the actual execution boundary users approve.,"Store cap, currency, vendor or domain allowlist, action type, expiry, evidence requirements, and standing rule source | Bind the envelope to grants and approvals | Expose one canonical wallet read model",Multi-currency settlement logic | Enterprise policy pack support,All listed wallet fields are stored | Wallet binds to grants and approvals | One canonical wallet read model exists,unit: policy and grant logic | integration: approve or deny flows | smoke: bounded execution path,approval completion rate | out-of-scope execution attempts | grant validation failures,Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.
ACT-041,ACT-ED,Standing rule engine,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-041
Epic: Action Wallet and policy engine
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Action Wallet and policy engine
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-040

Why
Launch hosts need repeat approvals to shrink without opening uncapped automation.

Scope
- Allow rules such as buy under X for host Y
- Always ask on cancel or recover
- Restrict rules to certain vendors or domains

Out of Scope
- Cross-host marketplace rules
- Rule types beyond launch actions

Acceptance Criteria
- Users can create buy-under-cap rules for one host
- Users can force always-ask on cancel or recover
- Users can limit rules to certain vendors or domains

Tests
- unit: policy and grant logic
- integration: approve or deny flows
- smoke: bounded execution path

Metrics
- approval completion rate
- out-of-scope execution attempts
- grant validation failures

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Lane A,Lane A - Control plane/backend,5,Highest,Sprint 1,Backlog,Action Wallet and policy engine,true,"buy,cancel/recover",platform,ACT-040,"launch-1,action-wallet,epic-d,lane-a,act-041,sprint-1,action-buy,action-cancel-recover,channel-platform",Launch hosts need repeat approvals to shrink without opening uncapped automation.,Allow rules such as buy under X for host Y | Always ask on cancel or recover | Restrict rules to certain vendors or domains,Cross-host marketplace rules | Rule types beyond launch actions,Users can create buy-under-cap rules for one host | Users can force always-ask on cancel or recover | Users can limit rules to certain vendors or domains,unit: policy and grant logic | integration: approve or deny flows | smoke: bounded execution path,approval completion rate | out-of-scope execution attempts | grant validation failures,Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.
ACT-042,ACT-ED,Policy evaluation service,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-042
Epic: Action Wallet and policy engine
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Action Wallet and policy engine
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-040, ACT-041

Why
Every launch intent needs one service that chooses auto-approve, require approval, or deny.

Scope
- Evaluate intent plus user plus host against wallet envelope and standing rules
- Return auto-approve, require approval, or deny
- Emit reason codes for blocked outcomes

Out of Scope
- Open-ended policy scripting
- Dynamic risk scoring beyond launch rules

Acceptance Criteria
- Policy evaluation uses intent, user, and host inputs
- Only auto-approve, require approval, or deny outcomes are returned
- Blocked outcomes include reason codes

Tests
- unit: policy and grant logic
- integration: approve or deny flows
- smoke: bounded execution path

Metrics
- approval completion rate
- out-of-scope execution attempts
- grant validation failures

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Lane A,Lane A - Control plane/backend,5,Highest,Sprint 1,Backlog,Action Wallet and policy engine,true,"buy,cancel/recover",platform,"ACT-040,ACT-041","launch-1,action-wallet,epic-d,lane-a,act-042,sprint-1,action-buy,action-cancel-recover,channel-platform","Every launch intent needs one service that chooses auto-approve, require approval, or deny.","Evaluate intent plus user plus host against wallet envelope and standing rules | Return auto-approve, require approval, or deny | Emit reason codes for blocked outcomes",Open-ended policy scripting | Dynamic risk scoring beyond launch rules,"Policy evaluation uses intent, user, and host inputs | Only auto-approve, require approval, or deny outcomes are returned | Blocked outcomes include reason codes",unit: policy and grant logic | integration: approve or deny flows | smoke: bounded execution path,approval completion rate | out-of-scope execution attempts | grant validation failures,Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.
ACT-043,ACT-ED,Scope mismatch blocker,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-043
Epic: Action Wallet and policy engine
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Action Wallet and policy engine
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-042, ACT-044

Why
Finalize has to fail closed when the run drifts beyond what the user actually approved.

Scope
- Reject vendor mismatches
- Reject spend overruns
- Reject wrong action types and expired grants

Out of Scope
- Warning-only mismatch handling
- Post-completion mismatch detection only

Acceptance Criteria
- Vendor mismatches are rejected
- Spend overruns are rejected
- Wrong action type and expired grant paths are rejected

Tests
- unit: policy and grant logic
- integration: approve or deny flows
- smoke: bounded execution path

Metrics
- approval completion rate
- out-of-scope execution attempts
- grant validation failures

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Lane A,Lane A - Control plane/backend,3,Highest,Sprint 1,Backlog,Action Wallet and policy engine,true,"buy,cancel/recover",platform,"ACT-042,ACT-044","launch-1,action-wallet,epic-d,lane-a,act-043,sprint-1,action-buy,action-cancel-recover,channel-platform",Finalize has to fail closed when the run drifts beyond what the user actually approved.,Reject vendor mismatches | Reject spend overruns | Reject wrong action types and expired grants,Warning-only mismatch handling | Post-completion mismatch detection only,Vendor mismatches are rejected | Spend overruns are rejected | Wrong action type and expired grant paths are rejected,unit: policy and grant logic | integration: approve or deny flows | smoke: bounded execution path,approval completion rate | out-of-scope execution attempts | grant validation failures,Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.
ACT-044,ACT-ED,Grant minting service,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-044
Epic: Action Wallet and policy engine
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Action Wallet and policy engine
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-004, ACT-042, ACT-024

Why
Approved requests need a short-lived grant issued from one trusted path.

Scope
- Create short-lived execution grants from approvals
- Bind grant data to approval and wallet envelope
- Return expiry and nonce metadata

Out of Scope
- Long-lived reusable grants
- Grant minting outside approval flow

Acceptance Criteria
- Short-lived execution grants are created
- Grant data binds to approval and wallet envelope
- Expiry and nonce metadata are returned

Tests
- unit: policy and grant logic
- integration: approve or deny flows
- smoke: bounded execution path

Metrics
- approval completion rate
- out-of-scope execution attempts
- grant validation failures

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Lane A,Lane A - Control plane/backend,3,Highest,Sprint 1,Backlog,Action Wallet and policy engine,true,"buy,cancel/recover",platform,"ACT-004,ACT-042,ACT-024","launch-1,action-wallet,epic-d,lane-a,act-044,sprint-1,action-buy,action-cancel-recover,channel-platform",Approved requests need a short-lived grant issued from one trusted path.,Create short-lived execution grants from approvals | Bind grant data to approval and wallet envelope | Return expiry and nonce metadata,Long-lived reusable grants | Grant minting outside approval flow,Short-lived execution grants are created | Grant data binds to approval and wallet envelope | Expiry and nonce metadata are returned,unit: policy and grant logic | integration: approve or deny flows | smoke: bounded execution path,approval completion rate | out-of-scope execution attempts | grant validation failures,Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.
ACT-045,ACT-ED,Grant revocation service,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-045
Epic: Action Wallet and policy engine
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Action Wallet and policy engine
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-044

Why
Operators and users need a way to shut off grants before execution when trust or context changes.

Scope
- Revoke grants on user action
- Revoke grants on rule change
- Revoke grants on dispute hold or expiration

Out of Scope
- Retroactive mutation of completed grants
- Bulk policy backfills

Acceptance Criteria
- User action can revoke grants
- Rule changes can revoke grants
- Dispute hold and expiration revoke grants

Tests
- unit: policy and grant logic
- integration: approve or deny flows
- smoke: bounded execution path

Metrics
- approval completion rate
- out-of-scope execution attempts
- grant validation failures

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Lane A,Lane A - Control plane/backend,3,Highest,Sprint 1,Backlog,Action Wallet and policy engine,true,"buy,cancel/recover",platform,ACT-044,"launch-1,action-wallet,epic-d,lane-a,act-045,sprint-1,action-buy,action-cancel-recover,channel-platform",Operators and users need a way to shut off grants before execution when trust or context changes.,Revoke grants on user action | Revoke grants on rule change | Revoke grants on dispute hold or expiration,Retroactive mutation of completed grants | Bulk policy backfills,User action can revoke grants | Rule changes can revoke grants | Dispute hold and expiration revoke grants,unit: policy and grant logic | integration: approve or deny flows | smoke: bounded execution path,approval completion rate | out-of-scope execution attempts | grant validation failures,Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.
ACT-046,ACT-ED,Delegation lineage placeholder,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-046
Epic: Action Wallet and policy engine
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Action Wallet and policy engine
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-004

Why
Even without open downstream delegation at launch, the grant model needs a stable lineage slot now.

Scope
- Add a minimal delegation lineage reference
- Keep the model audit-friendly for future downstream calls
- Avoid changing launch grant semantics later

Out of Scope
- Open downstream multi-agent delegation
- Lineage traversal tooling

Acceptance Criteria
- Grant includes a minimal lineage reference
- Lineage is audit-friendly
- No extra downstream delegation behavior ships in v1

Tests
- unit: policy and grant logic
- integration: approve or deny flows
- smoke: bounded execution path

Metrics
- approval completion rate
- out-of-scope execution attempts
- grant validation failures

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Lane A,Lane A - Control plane/backend,2,Highest,Sprint 1,Backlog,Action Wallet and policy engine,true,"buy,cancel/recover",platform,ACT-004,"launch-1,action-wallet,epic-d,lane-a,act-046,sprint-1,action-buy,action-cancel-recover,channel-platform","Even without open downstream delegation at launch, the grant model needs a stable lineage slot now.",Add a minimal delegation lineage reference | Keep the model audit-friendly for future downstream calls | Avoid changing launch grant semantics later,Open downstream multi-agent delegation | Lineage traversal tooling,Grant includes a minimal lineage reference | Lineage is audit-friendly | No extra downstream delegation behavior ships in v1,unit: policy and grant logic | integration: approve or deny flows | smoke: bounded execution path,approval completion rate | out-of-scope execution attempts | grant validation failures,Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.
ACT-050,ACT-EE,Payment method vault integration,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-050
Epic: Payments and settlement
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 3
Area: Payments and settlement
Launch Critical: true
Action Type: buy
Channel: platform
Dependencies: None

Why
Launch buy flows need one managed payment provider before real money can move.

Scope
- Integrate one managed payment provider
- Store vaulted payment references
- Expose provider status needed by wallet and operator flows

Out of Scope
- Multiple launch payment providers
- BYO payment rails

Acceptance Criteria
- One managed provider is integrated
- Vaulted payment references are stored
- Provider status is exposed

Tests
- unit: settlement transitions
- integration: provider auth or capture or refund
- smoke: staged buy and cancel flows

Metrics
- action GMV
- take rate revenue
- refund exposure
- refund required rate

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Lane A,Lane A - Control plane/backend,5,Highest,Sprint 3,Backlog,Payments and settlement,true,buy,platform,,"launch-1,action-wallet,epic-e,lane-a,act-050,sprint-3,action-buy,channel-platform",Launch buy flows need one managed payment provider before real money can move.,Integrate one managed payment provider | Store vaulted payment references | Expose provider status needed by wallet and operator flows,Multiple launch payment providers | BYO payment rails,One managed provider is integrated | Vaulted payment references are stored | Provider status is exposed,unit: settlement transitions | integration: provider auth or capture or refund | smoke: staged buy and cancel flows,action GMV | take rate revenue | refund exposure | refund required rate,Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.
ACT-051,ACT-EE,Add payment method UI + API,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-051
Epic: Payments and settlement
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 3
Area: Payments and settlement
Launch Critical: true
Action Type: buy
Channel: platform
Dependencies: ACT-050, ACT-013

Why
Users need a bounded way to add, list, remove, and default payment methods under step-up auth.

Scope
- Add payment method UI and API
- List vaulted payment methods
- Remove and set default methods

Out of Scope
- Enterprise billing admin features
- Alternative launch payment rails

Acceptance Criteria
- Users can add a payment method
- Users can list remove and set a default method
- Step-up auth protects first add

Tests
- unit: settlement transitions
- integration: provider auth or capture or refund
- smoke: staged buy and cancel flows

Metrics
- action GMV
- take rate revenue
- refund exposure
- refund required rate

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Lane A,Lane A - Control plane/backend,3,Highest,Sprint 3,Backlog,Payments and settlement,true,buy,platform,"ACT-050,ACT-013","launch-1,action-wallet,epic-e,lane-a,act-051,sprint-3,action-buy,channel-platform","Users need a bounded way to add, list, remove, and default payment methods under step-up auth.",Add payment method UI and API | List vaulted payment methods | Remove and set default methods,Enterprise billing admin features | Alternative launch payment rails,Users can add a payment method | Users can list remove and set a default method | Step-up auth protects first add,unit: settlement transitions | integration: provider auth or capture or refund | smoke: staged buy and cancel flows,action GMV | take rate revenue | refund exposure | refund required rate,Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.
ACT-052,ACT-EE,Pre-authorization / hold flow,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-052
Epic: Payments and settlement
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 3
Area: Payments and settlement
Launch Critical: true
Action Type: buy
Channel: platform
Dependencies: ACT-050, ACT-040, ACT-044

Why
Buy runs need a hold path that respects the approved spend envelope before execution completes.

Scope
- Place a pre-authorization or hold for buy actions
- Bind holds to wallet cap and grant
- Store hold status for later capture or release

Out of Scope
- Capture before verification
- Unbounded auth amounts

Acceptance Criteria
- Buy actions can place a hold
- Hold amounts respect wallet cap and grant
- Hold status is stored for later settlement

Tests
- unit: settlement transitions
- integration: provider auth or capture or refund
- smoke: staged buy and cancel flows

Metrics
- action GMV
- take rate revenue
- refund exposure
- refund required rate

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Lane A,Lane A - Control plane/backend,3,Highest,Sprint 3,Backlog,Payments and settlement,true,buy,platform,"ACT-050,ACT-040,ACT-044","launch-1,action-wallet,epic-e,lane-a,act-052,sprint-3,action-buy,channel-platform",Buy runs need a hold path that respects the approved spend envelope before execution completes.,Place a pre-authorization or hold for buy actions | Bind holds to wallet cap and grant | Store hold status for later capture or release,Capture before verification | Unbounded auth amounts,Buy actions can place a hold | Hold amounts respect wallet cap and grant | Hold status is stored for later settlement,unit: settlement transitions | integration: provider auth or capture or refund | smoke: staged buy and cancel flows,action GMV | take rate revenue | refund exposure | refund required rate,Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.
ACT-053,ACT-EE,Capture flow,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-053
Epic: Payments and settlement
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 3
Area: Payments and settlement
Launch Critical: true
Action Type: buy
Channel: platform
Dependencies: ACT-052, ACT-063, ACT-027

Why
Launch integrity depends on capture occurring only after the verifier passes.

Scope
- Capture held funds after verification pass
- Bind capture outcome to finalize result
- Store capture errors for operator handling

Out of Scope
- Capture before verification pass
- Manual capture outside the launch state machine

Acceptance Criteria
- Funds capture only after verification pass
- Capture outcome binds to finalize result
- Capture errors are stored

Tests
- unit: settlement transitions
- integration: provider auth or capture or refund
- smoke: staged buy and cancel flows

Metrics
- action GMV
- take rate revenue
- refund exposure
- refund required rate

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Lane A,Lane A - Control plane/backend,3,Highest,Sprint 3,Backlog,Payments and settlement,true,buy,platform,"ACT-052,ACT-063,ACT-027","launch-1,action-wallet,epic-e,lane-a,act-053,sprint-3,action-buy,channel-platform",Launch integrity depends on capture occurring only after the verifier passes.,Capture held funds after verification pass | Bind capture outcome to finalize result | Store capture errors for operator handling,Capture before verification pass | Manual capture outside the launch state machine,Funds capture only after verification pass | Capture outcome binds to finalize result | Capture errors are stored,unit: settlement transitions | integration: provider auth or capture or refund | smoke: staged buy and cancel flows,action GMV | take rate revenue | refund exposure | refund required rate,Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.
