Title,Description,Priority,Status,Assignee,Labels,Estimate
ACT-011 Session management,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-011
Epic: Auth, identity, and approval security
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Auth, identity, and approval security
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-010

Why
Users need durable but revocable sessions across approval, wallet, and dispute flows.

Scope
- Use secure session cookies
- List trusted devices
- Allow session revocation

Out of Scope
- Long-lived bearer tokens for browser sessions
- Cross-tenant session sharing

Acceptance Criteria
- Secure session cookies are used
- Device list is visible
- Sessions can be revoked

Tests
- unit: auth and token validation
- integration: sign-in and approval-link flows
- smoke: account setup and revoke path

Metrics
- approval completion rate
- grant validation failures
- out-of-scope execution attempts

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-b,lane-a,act-011,sprint-1,action-buy,action-cancel-recover,channel-platform",3
ACT-012 One-time approval links,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-012
Epic: Auth, identity, and approval security
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Auth, identity, and approval security
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-010, ACT-011

Why
Approval links are the main trust boundary for external hosts and must not be replayable.

Scope
- Make approval links short-lived
- Bind approval links to one session
- Invalidate links after a final decision

Out of Scope
- Reusable approval links
- Link sharing across active sessions

Acceptance Criteria
- Approval links are short-lived
- Links bind to a single session
- Links cannot be reused after final decision

Tests
- unit: auth and token validation
- integration: sign-in and approval-link flows
- smoke: account setup and revoke path

Metrics
- approval completion rate
- grant validation failures
- out-of-scope execution attempts

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-b,lane-a,act-012,sprint-1,action-buy,action-cancel-recover,channel-platform",3
ACT-013 Step-up auth,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-013
Epic: Auth, identity, and approval security
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Auth, identity, and approval security
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-010, ACT-011

Why
High-risk account and payment changes need a second check beyond the base session.

Scope
- Require extra auth for first payment method add
- Require extra auth for standing rule creation above threshold
- Require extra auth for account changes

Out of Scope
- Step-up rules for Phase 1.5 features
- Custom risk scoring beyond launch thresholds

Acceptance Criteria
- Step-up auth is required for first payment method add
- Thresholded standing rules require extra auth
- Account changes require extra auth

Tests
- unit: auth and token validation
- integration: sign-in and approval-link flows
- smoke: account setup and revoke path

Metrics
- approval completion rate
- grant validation failures
- out-of-scope execution attempts

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-b,lane-a,act-013,sprint-1,action-buy,action-cancel-recover,channel-platform",2
ACT-014 Trusted host registry,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-014
Epic: Auth, identity, and approval security
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Auth, identity, and approval security
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-001

Why
Every approval and grant must bind back to a known host identity before external traffic is allowed.

Scope
- Store host id, host name, callback URLs, auth model, and environment
- Provide a read model for host trust state
- Use the registry as the source for launch host installs

Out of Scope
- Open host marketplace features
- Self-serve enterprise connector onboarding

Acceptance Criteria
- Host id, name, callbacks, auth model, and environment are tracked
- Registry exposes host trust state
- Launch hosts are registered from the registry

Tests
- unit: auth and token validation
- integration: sign-in and approval-link flows
- smoke: account setup and revoke path

Metrics
- approval completion rate
- grant validation failures
- out-of-scope execution attempts

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-b,lane-a,act-014,sprint-1,action-buy,action-cancel-recover,channel-platform",3
ACT-015 Host auth model,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-015
Epic: Auth, identity, and approval security
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Auth, identity, and approval security
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-014

Why
Hosts must authenticate consistently or the public API becomes the easiest bypass path.

Scope
- Issue host credentials
- Validate inbound host API use
- Define credential rotation expectations

Out of Scope
- Multiple auth models per launch host
- Connector-specific auth drift

Acceptance Criteria
- Host credentials can be issued
- Inbound host API use is validated
- Rotation expectations are documented

Tests
- unit: auth and token validation
- integration: sign-in and approval-link flows
- smoke: account setup and revoke path

Metrics
- approval completion rate
- grant validation failures
- out-of-scope execution attempts

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-b,lane-a,act-015,sprint-1,action-buy,action-cancel-recover,channel-platform",3
ACT-016 Revocation path,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-016
Epic: Auth, identity, and approval security
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Auth, identity, and approval security
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-011, ACT-014, ACT-045

Why
Users need a clean way to cut off hosts, rules, and unused grants before trust breaks.

Scope
- Allow host access revocation
- Allow standing rule revocation
- Allow revocation of grants not yet executed

Out of Scope
- Retroactive mutation of completed receipts
- Bulk enterprise revocation tooling

Acceptance Criteria
- Host access can be revoked
- Standing rules can be revoked
- Unexecuted grants can be revoked

Tests
- unit: auth and token validation
- integration: sign-in and approval-link flows
- smoke: account setup and revoke path

Metrics
- approval completion rate
- grant validation failures
- out-of-scope execution attempts

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-b,lane-a,act-016,sprint-1,action-buy,action-cancel-recover,channel-platform",3
ACT-020 POST /v1/action-intents,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-020
Epic: Public API
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Public API
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform, Claude MCP, OpenClaw
Dependencies: ACT-001, ACT-002

Why
Hosts need one canonical way to create launch-bound action intents.

Scope
- Create action intents through the public API
- Validate request shape against the locked object model
- Return stable identifiers and initial state

Out of Scope
- Booking or Phase 1.5 action types
- Host-specific create flows

Acceptance Criteria
- Action intents can be created
- Requests validate against the locked model
- Responses return stable identifiers and state

Tests
- unit: handler validation
- integration: end-to-end API lifecycle
- smoke: staged host flow

Metrics
- install-to-first-approval time
- approval completion rate
- finalize latency

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-c,lane-a,act-020,sprint-1,action-buy,action-cancel-recover,channel-platform,channel-claude-mcp,channel-openclaw",3
ACT-021 GET /v1/action-intents/{id},"Launch 1 - Action Wallet import seed

Ticket Key: ACT-021
Epic: Public API
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Public API
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform, Claude MCP, OpenClaw
Dependencies: ACT-020

Why
Hosts need a stable read path to resume or inspect launch intent state.

Scope
- Fetch action intent by id
- Return canonical state and linked objects
- Enforce auth on reads

Out of Scope
- Search or list endpoints
- Expanded read models beyond launch needs

Acceptance Criteria
- Intent can be fetched by id
- State and linked objects are returned
- Read auth is enforced

Tests
- unit: handler validation
- integration: end-to-end API lifecycle
- smoke: staged host flow

Metrics
- install-to-first-approval time
- approval completion rate
- finalize latency

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-c,lane-a,act-021,sprint-1,action-buy,action-cancel-recover,channel-platform,channel-claude-mcp,channel-openclaw",2
ACT-022 POST /v1/action-intents/{id}/approval-requests,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-022
Epic: Public API
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Public API
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform, Claude MCP, OpenClaw
Dependencies: ACT-020, ACT-003

Why
Approval request creation is the handoff from host intent to hosted approval surface.

Scope
- Create approval requests from action intents
- Validate approval state preconditions
- Return hosted approval metadata

Out of Scope
- Multi-step approval bundling
- Non-hosted approval channels

Acceptance Criteria
- Approval requests can be created from intents
- Preconditions are validated
- Hosted approval metadata is returned

Tests
- unit: handler validation
- integration: end-to-end API lifecycle
- smoke: staged host flow

Metrics
- install-to-first-approval time
- approval completion rate
- finalize latency

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-c,lane-a,act-022,sprint-1,action-buy,action-cancel-recover,channel-platform,channel-claude-mcp,channel-openclaw",3
ACT-023 GET /v1/approval-requests/{id},"Launch 1 - Action Wallet import seed

Ticket Key: ACT-023
Epic: Public API
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Public API
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform, Claude MCP, OpenClaw
Dependencies: ACT-022

Why
Hosts and product surfaces need one read model for pending or decided approvals.

Scope
- Fetch approval request by id
- Expose current approval state and hosted URL metadata
- Enforce auth by viewer type

Out of Scope
- Approval list APIs
- Cross-host approval reads

Acceptance Criteria
- Approval requests can be fetched by id
- State and hosted metadata are exposed
- Read auth is enforced

Tests
- unit: handler validation
- integration: end-to-end API lifecycle
- smoke: staged host flow

Metrics
- install-to-first-approval time
- approval completion rate
- finalize latency

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-c,lane-a,act-023,sprint-1,action-buy,action-cancel-recover,channel-platform,channel-claude-mcp,channel-openclaw",2
ACT-024 POST /v1/approval-requests/{id}/decisions,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-024
Epic: Public API
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Public API
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform, Claude MCP, OpenClaw
Dependencies: ACT-022, ACT-012

Why
Decision write semantics must be consistent or grants and resumes will race.

Scope
- Approve or deny approval requests
- Validate one-time link and state rules
- Trigger grant issuance or denial state transitions

Out of Scope
- Standing rule authoring beyond launch UX
- Batch approval decisions

Acceptance Criteria
- Approval requests can be approved or denied
- One-time link and state rules are validated
- Decision writes trigger the correct next state

Tests
- unit: handler validation
- integration: end-to-end API lifecycle
- smoke: staged host flow

Metrics
- install-to-first-approval time
- approval completion rate
- finalize latency

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-c,lane-a,act-024,sprint-1,action-buy,action-cancel-recover,channel-platform,channel-claude-mcp,channel-openclaw",3
ACT-025 GET /v1/execution-grants/{id},"Launch 1 - Action Wallet import seed

Ticket Key: ACT-025
Epic: Public API
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 2
Area: Public API
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform, Claude MCP, OpenClaw
Dependencies: ACT-024, ACT-044

Why
Hosts need a secure fetch path for the grant that actually authorizes execution.

Scope
- Fetch execution grant by id
- Return canonical scoped fields and expiry
- Enforce host and user auth rules

Out of Scope
- Grant listing APIs
- Grant mutation through read endpoints

Acceptance Criteria
- Execution grants can be fetched by id
- Scoped fields and expiry are returned
- Read auth is enforced

Tests
- unit: handler validation
- integration: end-to-end API lifecycle
- smoke: staged host flow

Metrics
- install-to-first-approval time
- approval completion rate
- finalize latency

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-c,lane-a,act-025,sprint-2,action-buy,action-cancel-recover,channel-platform,channel-claude-mcp,channel-openclaw",2
ACT-026 POST /v1/execution-grants/{id}/evidence,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-026
Epic: Public API
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 2
Area: Public API
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform, Claude MCP, OpenClaw
Dependencies: ACT-025, ACT-060, ACT-061, ACT-062

Why
Evidence submission is required to prove launch actions before finalization.

Scope
- Submit evidence against an execution grant
- Validate evidence bundle type and artifact references
- Store evidence linkage for verification

Out of Scope
- Free-form evidence without schema binding
- Bulk evidence ingestion

Acceptance Criteria
- Evidence can be submitted against a grant
- Evidence validates against bundle rules
- Grant to evidence linkage is stored

Tests
- unit: handler validation
- integration: end-to-end API lifecycle
- smoke: staged host flow

Metrics
- install-to-first-approval time
- approval completion rate
- finalize latency

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-c,lane-a,act-026,sprint-2,action-buy,action-cancel-recover,channel-platform,channel-claude-mcp,channel-openclaw",3
ACT-027 POST /v1/execution-grants/{id}/finalize,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-027
Epic: Public API
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 2
Area: Public API
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform, Claude MCP, OpenClaw
Dependencies: ACT-026, ACT-043, ACT-063

Why
Finalize must be the fail-closed gate before capture and receipt issuance.

Scope
- Request verification and finalization for a grant
- Block scope mismatches and expired grants
- Return finalization status for async verification

Out of Scope
- Best-effort finalize without verification
- Capture before verification

Acceptance Criteria
- Finalize requests trigger verification
- Scope mismatches and expired grants are blocked
- Finalization status is returned

Tests
- unit: handler validation
- integration: end-to-end API lifecycle
- smoke: staged host flow

Metrics
- install-to-first-approval time
- approval completion rate
- finalize latency

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-c,lane-a,act-027,sprint-2,action-buy,action-cancel-recover,channel-platform,channel-claude-mcp,channel-openclaw",3
ACT-028 GET /v1/receipts/{id},"Launch 1 - Action Wallet import seed

Ticket Key: ACT-028
Epic: Public API
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 2
Area: Public API
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform, Claude MCP, OpenClaw
Dependencies: ACT-027, ACT-065

Why
Hosts and users need a stable machine-readable receipt fetch path after completion.

Scope
- Fetch receipts by id
- Return linked approval, grant, evidence, and settlement state
- Enforce auth on receipt reads

Out of Scope
- Receipt search APIs
- Human-only receipt views

Acceptance Criteria
- Receipts can be fetched by id
- Linked launch objects are returned
- Read auth is enforced

Tests
- unit: handler validation
- integration: end-to-end API lifecycle
- smoke: staged host flow

Metrics
- install-to-first-approval time
- approval completion rate
- finalize latency

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-c,lane-a,act-028,sprint-2,action-buy,action-cancel-recover,channel-platform,channel-claude-mcp,channel-openclaw",2
ACT-029 POST /v1/disputes,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-029
Epic: Public API
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 2
Area: Public API
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform, Claude MCP, OpenClaw
Dependencies: ACT-028, ACT-006

Why
Users need a direct dispute creation entrypoint tied back to the launch receipt.

Scope
- Open disputes from receipt context
- Validate required identifiers and reason data
- Persist the initial dispute lifecycle state

Out of Scope
- Agent-initiated dispute creation
- Arbitration verdict writes

Acceptance Criteria
- Disputes can be opened from receipt context
- Required identifiers are validated
- Initial dispute state is persisted

Tests
- unit: handler validation
- integration: end-to-end API lifecycle
- smoke: staged host flow

Metrics
- install-to-first-approval time
- approval completion rate
- finalize latency

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-c,lane-a,act-029,sprint-2,action-buy,action-cancel-recover,channel-platform,channel-claude-mcp,channel-openclaw",3
ACT-030 GET /v1/disputes/{id},"Launch 1 - Action Wallet import seed

Ticket Key: ACT-030
Epic: Public API
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 2
Area: Public API
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform, Claude MCP, OpenClaw
Dependencies: ACT-029

Why
Dispute tracking depends on a stable case read model for users and operators.

Scope
- Fetch dispute by id
- Return current lifecycle state and key linked objects
- Enforce auth on dispute reads

Out of Scope
- Dispute search or reporting APIs
- Write actions on the read route

Acceptance Criteria
- Disputes can be fetched by id
- Lifecycle state and linked objects are returned
- Read auth is enforced

Tests
- unit: handler validation
- integration: end-to-end API lifecycle
- smoke: staged host flow

Metrics
- install-to-first-approval time
- approval completion rate
- finalize latency

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-c,lane-a,act-030,sprint-2,action-buy,action-cancel-recover,channel-platform,channel-claude-mcp,channel-openclaw",2
