Ticket Key,Epic Key,Summary,Description,Owner,Estimate,Priority,Sprint,Dependencies,Labels,Acceptance Criteria
STLD-T3116,STLD-E3103,Define policy pack schema v2,"Define schema for versioned policy packs, constraints, profile metadata, signatures, and compatibility ranges.",Tech Lead Architecture,3d,Highest,S1,,"policy,packs,schema,critical-path",Schema and examples are published; validator rejects malformed packs with stable reason codes.
STLD-T3117,STLD-E3103,Implement policy pack compiler,"Build compiler that validates packs, resolves defaults, computes policy fingerprints, and emits runtime-ready policy objects.",Backend Platform,4d,Highest,S2,STLD-T3116,"policy,packs,compiler,critical-path",Compiler output is deterministic; same input yields same policy fingerprint and canonical JSON.
STLD-T3118,STLD-E3103,Create vertical policy starter library,"Ship starter packs for procurement, marketing, research, and hiring with safe caps and escalation defaults.",Product Platform,4d,High,S3,STLD-T3117,"policy,profiles,verticals",At least four starter packs are installable; each includes simulation scenarios and expected outcomes.
STLD-T3119,STLD-E3103,Add policy profile selector to onboarding,"Add interactive profile selection with preview of limits, escalation routes, and required approvals.",DevEx Platform,3d,High,S2,STLD-T3117,"policy,onboarding,ux",Onboarding displays profile comparison and selected pack summary; selected pack is persisted and applied.
STLD-T3120,STLD-E3103,Implement policy simulation CLI,Provide `settld policy simulate` for dry-run evaluation of planned actions against chosen pack and runtime context.,Backend Platform,3d,High,S3,STLD-T3117,"policy,simulation,cli",CLI returns decision and reason code for sample payloads; results match runtime decision engine outputs.
STLD-T3121,STLD-E3103,Implement policy diff and migration,Provide tooling to diff policy versions and generate migration advisories before applying updates.,Backend Platform,3d,Medium,S4,STLD-T3117,"policy,migration,governance",Diff output includes changed constraints and risk tags; migration command blocks unsafe downgrades by default.
STLD-T3122,STLD-E3103,Implement policy pack signing and provenance,Sign policy packs and verify provenance before install to block tampered or untrusted policy artifacts.,DevOps Security,4d,Highest,S4,"STLD-T3116,STLD-T3144","policy,signing,provenance,critical-path",Unsigned or invalidly signed packs are rejected; install logs include signer identity and digest evidence.
STLD-T3123,STLD-E3104,Define OpenClaw setup integration contract,Define command contract between OpenClaw and Settld for non-interactive onboarding invocation and status exchange.,Tech Lead Architecture,2d,Highest,S1,,"openclaw,integration,contract,critical-path","Contract defines command inputs/outputs, error codes, and profile handling; contract tests cover schema compatibility."
STLD-T3124,STLD-E3104,Build OpenClaw setup bridge command,Implement `openclaw setup settld` bridge that invokes Settld onboarding with profile-aware defaults.,DevEx Platform,4d,Highest,S2,"STLD-T3123,STLD-T3104","openclaw,cli,onboarding,critical-path",OpenClaw command triggers Settld flow and returns readiness summary; command supports interactive and non-interactive modes.
STLD-T3125,STLD-E3104,Implement profile-aware MCP installer,Write host config updates for OpenClaw profiles and validate MCP server registration for selected profile.,DevEx Platform,3d,Highest,S2,"STLD-T3123,STLD-T3102","openclaw,mcp,profiles,critical-path",Installer writes MCP config to active profile path and verifies `settld.about` probe succeeds.
STLD-T3126,STLD-E3104,Build OpenClaw health check and doctor hooks,Add post-install health checks and remediation guidance integrated with OpenClaw doctor flow.,DevEx Platform,3d,High,S3,STLD-T3125,"openclaw,health,doctor","Health check reports host wiring, auth validity, and wallet status; doctor command provides one-step fixes where possible."
STLD-T3127,STLD-E3104,Implement TUI onboarding progress cards,"Expose step-level progress, blockers, and retry guidance in OpenClaw TUI for onboarding operations.",Frontend Workflow,3d,Medium,S3,STLD-T3124,"openclaw,tui,ux",TUI shows current step and completion states; failed steps include retry action and linked logs.
STLD-T3128,STLD-E3104,Implement reconnect and recovery flow,Add commands to recover broken Settld-OpenClaw integration without full reset.,DevEx Platform,3d,Medium,S4,"STLD-T3126,STLD-T3106","openclaw,recovery,support","Recovery command revalidates config, rotates broken creds, and restores working probe without reinstalling OpenClaw."
STLD-T3129,STLD-E3105,Enforce policy fingerprint binding in authorization,"Require policy fingerprint/version consistency between gate, passport, and runtime policy resolution paths.",Backend Platform,4d,Highest,S2,"STLD-T3117,STLD-T3119","runtime,policy-binding,critical-path",Authorization rejects mismatched policy refs with stable codes; matching refs proceed and are recorded in receipts.
STLD-T3130,STLD-E3105,Enforce wallet decision attestation checks,"Validate provider decision token signatures, scopes, and expiry for each authorization path.",Backend Platform,4d,Highest,S2,"STLD-T3109,STLD-T3112","runtime,wallet-attestation,critical-path",Invalid/expired decision tokens are denied; valid decisions produce deterministic authorization state transitions.
STLD-T3131,STLD-E3105,Enrich receipts with wallet lifecycle evidence,Attach provider-specific authorization/reserve/settlement evidence references to receipt records.,Backend Platform,3d,High,S3,STLD-T3130,"receipts,evidence,runtime",Receipts include normalized provider evidence refs; verifier confirms refs are present and hash-bound.
STLD-T3132,STLD-E3105,Implement deterministic escalation replay API,Provide replay endpoint that reconstructs escalation timeline and decision replay report deterministically.,Backend Platform,3d,High,S3,STLD-T3129,"escalation,replay,determinism",Replay report is byte-stable for same event set; includes all escalation events and final decision summary.
STLD-T3133,STLD-E3105,Implement tenant evidence export bundles,"Export immutable bundles for onboarding, policy, authorization, escalation, and receipt evidence per tenant.",Backend Platform,3d,High,S4,"STLD-T3131,STLD-T3132","evidence,export,audit",Export includes canonical manifests and signatures; offline verifier passes in strict mode.
STLD-T3134,STLD-E3105,Implement verifier report for onboarding runs,Produce independent verifier output for each onboarding run to confirm trust path integrity.,QA Verification,3d,High,S4,STLD-T3133,"verifier,onboarding,qa",Verifier report includes pass/fail and reason codes for each trust primitive; report artifacts are attached to run history.
STLD-T3135,STLD-E3106,Define marketplace package domain model,"Define data model for policy packs/connectors, versions, trust metadata, and compatibility constraints.",Tech Lead Architecture,3d,High,S4,STLD-T3116,"marketplace,domain-model",Domain model and APIs are documented; package resolution rules are deterministic.
STLD-T3136,STLD-E3106,Build package publishing pipeline,"Implement publish flow with validation, signing checks, metadata extraction, and immutable version registration.",Backend Platform,4d,High,S4,"STLD-T3135,STLD-T3122","marketplace,publish,packages",Publishing enforces schema/signature checks; successful publishes are immutable and queryable by version.
STLD-T3137,STLD-E3106,Build package install and upgrade manager,Implement install/upgrade/uninstall lifecycle for marketplace packages with dependency and compatibility checks.,Backend Platform,4d,High,S5,STLD-T3136,"marketplace,install,upgrade",Install manager resolves dependencies and blocks incompatible packages; operations are idempotent and auditable.
STLD-T3138,STLD-E3106,Implement package trust scoring,"Compute trust scores from signature provenance, install outcomes, and policy/runtime safety signals.",Backend Platform,3d,Medium,S5,STLD-T3136,"marketplace,trust-score,safety",Trust score is computed for every package version; scoring inputs are transparent and exportable.
STLD-T3139,STLD-E3106,Implement package usage attribution ledger,Track package usage and attribution events for future monetization/revenue-share without affecting runtime determinism.,Backend Platform,3d,Medium,S5,STLD-T3137,"marketplace,attribution,ledger",Usage attribution records are written for install/use events; reports aggregate by package/version/tenant.
STLD-T3140,STLD-E3106,Build marketplace browse and search surfaces,Expose API and CLI browse/search/install flows for packages with trust and compatibility filters.,Frontend Workflow,3d,Medium,S5,"STLD-T3137,STLD-T3138","marketplace,search,dx",Users can list and filter packages by host/wallet compatibility and trust score; install command works end-to-end.
STLD-T3141,STLD-E3107,Implement secretless onboarding worker auth,Move onboarding workers to short-lived scoped tokens and eliminate static long-lived admin credentials in setup paths.,DevOps Security,4d,Highest,S1,,"security,auth,onboarding,critical-path",Onboarding uses short-lived scoped tokens only; static admin token path is disabled in production mode.
STLD-T3142,STLD-E3107,Implement hardware-backed key option,Add optional HSM/KMS-backed signing path for provider and policy signing operations.,DevOps Security,4d,High,S3,STLD-T3141,"security,keys,hsm",HSM/KMS mode signs required artifacts without local private-key exposure; fallback behavior is explicit and auditable.
STLD-T3143,STLD-E3107,Generate SBOM for adapters and packs,Produce and publish SBOM artifacts for wallet adapters and installable policy/connector packages.,DevOps Security,3d,High,S3,"STLD-T3109,STLD-T3110,STLD-T3111","security,sbom,supply-chain",CI emits SBOM for each release artifact; SBOM files are attached to release bundle and verifiable.
STLD-T3144,STLD-E3107,Enforce adapter signature verification,Require trusted signatures for adapter binaries/modules before activation in runtime.,DevOps Security,4d,Highest,S4,STLD-T3143,"security,signature-enforcement,critical-path",Unsigned or untrusted adapters cannot be loaded; verification failures emit stable error codes and alerts.
STLD-T3145,STLD-E3107,Implement runtime anomaly detection policies,"Detect anomalous spend behavior, policy bypass patterns, and adapter drift in real time.",Backend Platform,4d,High,S4,"STLD-T3129,STLD-T3130","security,anomaly-detection,runtime",Anomaly rules trigger alerts with severity and context; false-positive tuning controls are documented.
STLD-T3146,STLD-E3107,Implement live intervention kill-switch,Provide operator kill-switch to pause onboarding/authz flows per tenant/provider/policy when abuse is detected.,Backend Platform,3d,Highest,S5,STLD-T3145,"security,intervention,ops,critical-path",Kill-switch blocks targeted flows within 60s and records signed operator action artifacts for audit.
STLD-T3147,STLD-E3107,Implement evidence retention and redaction controls,Apply tenant-level retention windows and redaction policies for evidence bundles and operational logs.,DevOps Security,3d,High,S5,STLD-T3133,"security,privacy,retention",Retention and redaction policies execute automatically; policy violations are surfaced in compliance reports.
STLD-T3148,STLD-E3107,Map controls to SOC2 GDPR HIPAA baseline,Create control matrix and evidence mapping for major compliance frameworks relevant to autonomous spend trust systems.,DevOps Security,3d,Medium,S5,"STLD-T3141,STLD-T3147","compliance,soc2,gdpr,hipaa",Control matrix maps each requirement to implemented controls and evidence artifact paths; gaps are explicitly tracked.
STLD-T3149,STLD-E3108,Define onboarding and authz SLOs,"Define service level objectives for onboarding success latency, authorization reliability, and escalation response.",DevOps Platform,2d,Highest,S1,,"sre,slo,critical-path",SLOs are documented with target/error budgets and measurement queries; dashboards include SLO burn indicators.
STLD-T3150,STLD-E3108,Implement distributed tracing for onboarding,"Add trace propagation through onboarding orchestrator, wallet adapters, policy runtime, and evidence writer.",DevOps Platform,3d,High,S4,"STLD-T3104,STLD-T3149","sre,tracing,observability",Single trace links all onboarding sub-steps; failures can be root-caused from trace view without manual correlation.
STLD-T3151,STLD-E3108,Implement metrics and dashboards for setup funnel,Instrument onboarding funnel and runtime reliability metrics with tenant/provider/policy dimensions.,DevOps Platform,3d,High,S4,"STLD-T3104,STLD-T3149","sre,metrics,dashboard",Dashboard shows step conversion rates and p50/p95 latencies; metrics are available for alerts and weekly reviews.
STLD-T3152,STLD-E3108,Implement alert routing and severity policy,"Define and configure alert routes and paging policy for onboarding, wallet, policy, and evidence failures.",DevOps Platform,2d,High,S5,STLD-T3151,"sre,alerts,operations",Critical alerts page on-call with runbook links; low-severity alerts route to async channels only.
STLD-T3153,STLD-E3108,Run chaos drills for wallet adapter failures,"Execute scheduled chaos scenarios for provider outage, latency spikes, and partial provisioning failures.",DevOps Platform,3d,Medium,S5,"STLD-T3150,STLD-T3152","sre,chaos,resilience",Chaos drills run in controlled environments; each drill produces pass/fail report with remediation actions.
STLD-T3154,STLD-E3108,Implement blue-green rollout with auto rollback,Deploy onboarding/runtime services with blue-green strategy and rollback trigger tied to SLO and gate failures.,DevOps Platform,4d,High,S6,"STLD-T3152,STLD-T3153","sre,deploy,rollback,launch",Release pipeline rolls back automatically when rollback conditions are met; rollback event is logged and notified.
STLD-T3155,STLD-E3109,Build host certification matrix tests,"Create automated host certification matrix covering Codex, Claude, Cursor, and OpenClaw onboarding compatibility.",QA Verification,3d,Highest,S1,,"qa,host-certification,critical-path",Matrix tests run in CI and produce machine-readable report; failures block release gate.
STLD-T3156,STLD-E3109,Build wallet adapter conformance suite,Create adapter contract tests that every wallet provider implementation must pass before release.,QA Verification,4d,Highest,S2,STLD-T3108,"qa,adapter-conformance,critical-path",Circle/Privy/External adapters pass mandatory suite; failing adapter cannot be selected by onboarding.
STLD-T3157,STLD-E3109,Build deterministic testnet E2E harness,Create harness that provisions tenant+wallet+policy and runs full authorize/escalate/verify/receipt path on testnet.,QA Verification,4d,Highest,S3,"STLD-T3104,STLD-T3109,STLD-T3117","qa,e2e,testnet,critical-path",Harness produces deterministic artifacts and pass/fail report; run is reproducible with same seed inputs.
STLD-T3158,STLD-E3109,Build concurrent onboarding load tests,Create load tests for concurrent onboarding executions and measure contention/idempotency behavior under stress.,QA Verification,3d,High,S4,STLD-T3105,"qa,load,performance",Load tests run at target concurrency and report success/error rates; no data corruption under contention.
STLD-T3159,STLD-E3109,Enforce release gate for evidence parity,Add release gate ensuring evidence/export/verifier parity between staging and production candidate builds.,QA Verification,3d,Highest,S5,"STLD-T3133,STLD-T3134,STLD-T3157","qa,release-gate,determinism,critical-path",Release fails when verifier parity checks diverge; gate output includes exact mismatch diagnostics.
STLD-T3160,STLD-E3110,Publish five-minute OpenClaw quickstart,Publish minimal path from install to first verified receipt with copy-paste commands and expected outputs.,DevEx Documentation,2d,Highest,S1,STLD-T3102,"docs,quickstart,openclaw,critical-path",Quickstart validated by fresh user path in under 5 minutes; docs include troubleshooting for top three failure modes.
STLD-T3161,STLD-E3110,Publish onboarding architecture and threat model,"Document architecture, trust boundaries, attack surfaces, and mitigation controls for onboarding+wallet+policy plane.",DevEx Documentation,3d,High,S2,"STLD-T3101,STLD-T3141","docs,architecture,threat-model",Docs include diagrams and abuse paths; security review sign-off is captured in repo.
STLD-T3162,STLD-E3110,Publish operator runbook for incidents,"Document incident response steps for onboarding failures, wallet outages, and escalation system degradation.",DevOps Security,2d,High,S3,STLD-T3149,"docs,runbook,operations","Runbook includes triage, mitigation, rollback, and communication templates; on-call can execute without tribal knowledge."
STLD-T3163,STLD-E3110,Publish policy and wallet setup templates,"Ship reusable templates for common combinations of host, wallet provider, and policy profile.",DevEx Documentation,3d,Medium,S3,"STLD-T3118,STLD-T3119","docs,templates,dx",Templates are installable and simulation-tested; each template includes expected decisions and limits.
STLD-T3164,STLD-E3110,Build interactive docs walkthrough,Add interactive setup walkthrough on docs site with command copy buttons and expected verification checkpoints.,Frontend Workflow,3d,Medium,S4,STLD-T3160,"docs,interactive,adoption",Walkthrough tracks completion steps and links to run diagnostics; user can complete setup without external docs.
STLD-T3165,STLD-E3111,Define pilot qualification rubric,"Define ICP, qualification criteria, and disqualification rules for design-partner pilots.",GTM Pilot Ops,2d,Highest,S1,,"gtm,pilot,critical-path",Rubric defines required signals and acceptance thresholds; every pilot candidate is scored before onboarding.
STLD-T3166,STLD-E3111,Build pilot onboarding concierge workflow,Implement structured pilot onboarding checklist with owner handoffs and SLA for setup support.,GTM Pilot Ops,3d,High,S3,"STLD-T3104,STLD-T3165","gtm,onboarding,customer-success",Checklist and SLA workflow are operational; each pilot has tracked setup progress and blocker ownership.
STLD-T3167,STLD-E3111,Implement activation funnel analytics,Instrument activation funnel from setup start to first verified receipt and first successful escalation resolution.,Product Analytics,3d,High,S3,"STLD-T3104,STLD-T3151","analytics,activation,gtm,critical-path",Dashboard reports conversion by step and cohort; metrics are available daily with <24h lag.
STLD-T3168,STLD-E3111,Implement pilot health scorecards,"Generate weekly scorecards for reliability, adoption, and support burden per pilot account.",GTM Pilot Ops,3d,Medium,S4,STLD-T3167,"gtm,scorecard,operations",Weekly scorecards are generated automatically and include trend deltas and risk flags.
STLD-T3169,STLD-E3111,Run design-partner pilots and capture evidence,Execute five design-partner pilots end-to-end and capture adoption/reliability evidence for launch decision.,GTM Pilot Ops,5d,Highest,S5,"STLD-T3166,STLD-T3168,STLD-T3159","gtm,pilots,launch,critical-path",At least five pilots complete setup and run production-like scenarios; outcome evidence is stored in launch packet.
STLD-T3170,STLD-E3111,Build launch readiness packet and rollout plan,"Compile technical, security, reliability, and pilot evidence into go/no-go packet with staged rollout plan.",PM Founder Office,3d,Highest,S6,"STLD-T3169,STLD-T3154","launch,readiness,critical-path","Go/no-go packet includes signed gate results, pilot outcomes, rollback plan, and staged rollout schedule."
