"Ticket Key","Epic Key","Summary","Description","Owner","Estimate","Priority","Sprint","Dependencies","Labels","Acceptance Criteria"
"STLD-NBT301","STLD-NB3","Stabilize `nooterra agent init` scaffold output","Ensure scaffolded projects include runnable policy, tests, and manifest defaults that pass first-run smoke.","DevEx","3d","Highest","BETA-W2","STLD-NBT105","agentverse,scaffold,devex","Fresh scaffold completes install and local run without manual edits; generated tests pass; scaffold manifest is schema-valid."
"STLD-NBT302","STLD-NB3","Publish official JS SDK beta channel","Ship JS SDK with pinned examples for first verified run and stable semantic versioning.","SDK + DevEx","2d","Highest","BETA-W3","STLD-NBT301","sdk,javascript,publish","SDK package is published and installable; first-run example succeeds against staging; version tags map to release artifacts."
"STLD-NBT303","STLD-NB3","Publish provider-kit package and template","Package provider-tool starter with deterministic defaults and compatibility checks.","DevEx + Integrations","2d","High","BETA-W3","STLD-NBT301","provider-kit,templates,distribution","Provider kit installs from npm and generates a working paid-tool provider; conformance baseline passes on generated project."
"STLD-NBT304","STLD-NB3","Add external install matrix CI gate","Gate release on clean external install matrix for `npm`, `npx`, python SDK smoke, and CLI command surface.","CI + DevEx","3d","Highest","BETA-W4","STLD-NBT302,STLD-NBT303,STLD-NBT106","ci,install-smoke,release-gate","CI matrix passes in clean environments; failures include direct remediation hints; release is blocked if any install lane regresses."
"STLD-NBT305","STLD-NB3","Add agent build pipeline smoke test","Add CI flow that scaffolds an agent, runs it, executes an intent/work-order cycle, and verifies settlement retrieval.","DevEx + QA","2d","High","BETA-W5","STLD-NBT304","agent-pipeline,smoke,qa","Pipeline smoke succeeds on main branch; run emits replay-pack and settlement evidence links; failures are deterministic and triaged."
"STLD-NBT401","STLD-NB4","Freeze beta onboarding API profile","Freeze the beta onboarding route profile and publish compatibility constraints for clients.","PM + Backend","2d","Highest","BETA-W1","STLD-NBT201","onboarding,api-profile,contract","Beta onboarding profile doc is published with route list and required fields; API contract tests enforce compatibility."
"STLD-NBT402","STLD-NB4","Implement deterministic onboarding step journal","Track onboarding progression with step-level machine-readable outcomes and deterministic failure categories.","Backend + DevEx","3d","Highest","BETA-W2","STLD-NBT401","onboarding,journal,determinism","Onboarding journal output includes stable step IDs and outcomes; rerun under same inputs yields equivalent journal semantics."
"STLD-NBT403","STLD-NB4","Deliver first-paid-call guided remediation flow","Implement guided first-paid-call flow that maps failed steps to explicit remediation actions.","Product + DevEx","3d","Highest","BETA-W3","STLD-NBT402,STLD-NBT502","activation,first-paid-call,ux","At least 90% of scripted first-paid-call failures produce actionable remediation guidance; successful flow reaches verified payment and settlement evidence."
"STLD-NBT404","STLD-NB4","Enforce onboarding metrics and SLO dashboards","Expose onboarding metrics and tie p50/p95 activation SLOs to alerting thresholds.","SRE + Product","2d","High","BETA-W4","STLD-NBT402","slo,metrics,onboarding","Metrics endpoint reports onboarding funnel stages; SLO alerts trigger for threshold breaches; weekly trend report auto-generated."
"STLD-NBT405","STLD-NB4","Ship design-partner onboarding runbook","Create an operator runbook for onboarding design partners, including escalation and rollback actions.","Support + PM","2d","High","BETA-W5","STLD-NBT403,STLD-NBT404","design-partner,runbook,support","Runbook is used in at least one dry-run with full checklist completion; escalation contacts and SLAs are explicit and tested."
"STLD-NBT501","STLD-NB5","Harden wallet bootstrap and funding flows","Stabilize wallet bootstrap and funding endpoints across hosted onboarding and kernel-level x402 wallet setup.","Payments + Backend","3d","Highest","BETA-W1","STLD-NBT103","wallet,funding,x402","Wallet bootstrap and funding pass success/failure matrix; no partial funded state without explicit status evidence; retries are idempotent."
"STLD-NBT502","STLD-NB5","Add authorize-payment idempotency matrix","Cover duplicate, reordered, and replayed authorization attempts with deterministic idempotent outcomes.","Payments + QA","3d","Highest","BETA-W3","STLD-NBT501,STLD-NBT601","idempotency,authorize-payment,retries","Authorization replay matrix passes with no double-authorization; duplicate requests return deterministic prior result binding."
"STLD-NBT503","STLD-NB5","Harden verify/reversal/dispute handoff","Ensure verify and reversal outcomes align with dispute opening and settlement state transitions.","Payments + Backend","3d","Highest","BETA-W4","STLD-NBT502","verify,reversal,dispute,state-machine","Verify/reversal/dispute transitions are replay-safe and append-only; inconsistent transitions fail with stable reject codes."
"STLD-NBT504","STLD-NB5","Set settlement replay and explainability latency budgets","Measure and enforce p95 latency budgets for settlement replay/evaluate/explainability retrieval paths.","SRE + Payments","2d","High","BETA-W5","STLD-NBT503","settlement,latency,slo,explainability","Latency budgets are documented and monitored; budget regressions trigger alerts and release gate warnings."
"STLD-NBT505","STLD-NB5","Implement degraded payment-rail fail-closed mode","Add explicit degraded mode behavior for partial rail outages that preserves fund safety and evidence completeness.","Payments + SRE","2d","High","BETA-W5","STLD-NBT503","degraded-mode,fail-closed,payment-rails","Rail outage simulations deny unsafe actions, preserve existing funds, and emit deterministic outage reason codes."
"STLD-NBT601","STLD-NB6","Freeze intent contract schema and fixtures","Lock intent contract shape and canonical hashing fixtures for beta compatibility.","Protocol + Backend","2d","Highest","BETA-W2","STLD-NBT401","intent,protocol,schema","Intent schema and fixtures are versioned; canonical hashes are stable across repeated runs; compatibility checks run in CI."
"STLD-NBT602","STLD-NB6","Enforce strict request binding for side-effect routes","Require strict request hash/path/method binding on all side-effecting routes and remove permissive legacy edges.","Backend + Security","3d","Highest","BETA-W3","STLD-NBT601","request-binding,security,integrity","Side-effect requests without valid strict binding are rejected deterministically; read-only and compute paths preserve backward compatibility."
"STLD-NBT603","STLD-NB6","Require replay-pack verification on paid runs","Bind paid-run completion to replay-pack generation and verification APIs for auditability.","Backend + QA","2d","Highest","BETA-W4","STLD-NBT602","replay-pack,audit,paid-runs","Every paid run has replay-pack and verification status retrievable by API; missing replay-pack blocks final success verdict."
"STLD-NBT604","STLD-NB6","Add deterministic artifact hash soak gate","Run repeated export/replay cycles and assert stable artifact hashes and decision fingerprints.","Protocol + QA","2d","High","BETA-W5","STLD-NBT603","determinism,artifacts,soak","Equivalent runs produce stable semantic hashes across soak iterations; drift triggers gate failure with artifact diff pointers."
"STLD-NBT605","STLD-NB6","Add evidence-mismatch fail-closed regression suite","Prove settlement/dispute operations fail closed when evidence hash bindings are missing or mismatched.","QA + Security","2d","Highest","BETA-W5","STLD-NBT602","fail-closed,evidence,regression","Regression suite blocks merges on evidence mismatch acceptance; reject codes remain stable for integration consumers."
"STLD-NBT701","STLD-NB7","Deploy split API/worker/maintenance topology","Run API, workers, and maintenance roles as independent processes with explicit startup and readiness checks.","Platform + SRE","3d","Highest","BETA-W1","STLD-NBT101,STLD-NBT103","topology,deploy,sre","Topology deploy is documented and repeatable; each role has independent health signal; worker/maintenance outages do not hide API health state."
"STLD-NBT702","STLD-NB7","Deepen health/readiness/metrics checks","Add component-level readiness checks and standardized metrics labels for DB, queues, and external dependencies.","SRE","2d","High","BETA-W2","STLD-NBT701","healthz,readiness,metrics","Readiness reports component detail with stable schema; alerting can isolate component failures without ambiguous status."
"STLD-NBT703","STLD-NB7","Add queue retry and dead-letter guardrails","Implement bounded retries, dead-letter capture, and alerting for queue-backed work paths.","SRE + Backend","2d","High","BETA-W2","STLD-NBT701","queues,retries,dead-letter","Failed jobs move to dead-letter with evidence context; retry limits prevent infinite loops; alerts fire on dead-letter growth."
"STLD-NBT704","STLD-NB7","Run synthetic paid-flow canaries","Schedule synthetic end-to-end canaries covering onboarding, paid call, settlement, and evidence retrieval.","SRE + QA","2d","Highest","BETA-W4","STLD-NBT702,STLD-NBT403,STLD-NBT502","canary,e2e,production-gate","Canary runs at fixed cadence with signed reports; any hard-step failure pages on-call and blocks promotion."
"STLD-NBT705","STLD-NB7","Run rollback drill and incident packet signing","Perform rollback rehearsal and produce signed incident packet proving recovery path viability.","SRE + Security","2d","High","BETA-W3","STLD-NBT702,STLD-NBT703","rollback,incident,response","Rollback drill completes within defined window; incident packet includes timeline, checks, and signed artifact hashes."
"STLD-NBT801","STLD-NB8","Ship dispute and settlement ops control surface","Provide operator views/API bundles for active disputes, settlement anomalies, and evidence drill-down.","Operations + Backend","3d","High","BETA-W3","STLD-NBT503","ops-console,dispute,settlement","Ops surface supports triage without direct DB access; every action links to immutable evidence references."
"STLD-NBT802","STLD-NB8","Define incident severity model and on-call routing","Formalize severity classes, escalation times, and routing policies for reliability, payment, and security incidents.","Operations + SRE","2d","High","BETA-W4","STLD-NBT705","incident-management,oncall,sla","Severity model is documented and tested in tabletop drill; alert routing confirms correct responder assignment."
"STLD-NBT803","STLD-NB8","Publish status page and RCA templates","Implement public/internal status communication templates and enforce RCA completion workflow.","Support + Operations","1d","Medium","BETA-W5","STLD-NBT802","status-page,rca,comms","Status updates follow defined cadence; RCA template includes root cause, corrective actions, and verification links."
"STLD-NBT804","STLD-NB8","Deliver abuse and fraud triage playbook","Define abuse intake, fraud escalation, and tenant containment actions with evidence preservation requirements.","Security + Support","2d","High","BETA-W5","STLD-NBT802,STLD-NBT202","abuse,fraud,playbook","Abuse/fraud playbook covers detection, containment, escalation, and recovery; drill validates timing and evidence capture."
"STLD-NBT901","STLD-NB9","Unify beta package distribution surface","Align CLI, SDK, provider-kit, and quickstart docs into a single externally consistent beta install path.","PM + DevEx","2d","Highest","BETA-W4","STLD-NBT304","distribution,packaging,quickstart","External team can install and run beta flow using one quickstart path; package/version matrix is internally consistent."
"STLD-NBT902","STLD-NB9","Automate design-partner launch packets","Generate tenant-specific launch packets with onboarding status, gates, and support contacts.","PM + Operations","2d","High","BETA-W6","STLD-NBT405,STLD-NBT801,STLD-NBT901","design-partner,launch,automation","Launch packet generation is automated and auditable; packet includes onboarding proof, gate status, and escalation routes."
"STLD-NBT903","STLD-NB9","Implement beta promotion gate bundle","Create a single beta promotion gate command bundle that aggregates onboarding, install, reliability, and evidence gates.","Platform + QA","3d","Highest","BETA-W6","STLD-NBT704,STLD-NBT705,STLD-NBT604,STLD-NBT304","promotion-gate,release,ci","Promotion command emits machine-readable report with blocking issues; beta release is blocked unless all required gates pass."
"STLD-NBT904","STLD-NB9","Set public beta pricing and quota guardrails","Define beta usage limits, spend caps, and automatic throttles to bound financial and abuse risk.","PM + Finance + Security","2d","High","BETA-W5","STLD-NBT804","pricing,quotas,risk-controls","Quota and spend controls enforce configured limits; over-limit flows return deterministic responses and preserve settlement invariants."
"STLD-NBT905","STLD-NB9","Stand up beta activation funnel and weekly ops review","Implement activation dashboard and weekly review cadence for onboarding, reliability, and economic health metrics.","PM + Analytics + Operations","2d","High","BETA-W6","STLD-NBT902,STLD-NBT903,STLD-NBT904","activation,analytics,operating-rhythm","Weekly review packet auto-generates with trend deltas; owners and follow-ups are tracked per metric regression."
